,Quarter,Municipality,Total,Males,Females,Non-binary/Other,Icelandic citizens,Foreign citizens
83,2011Q1, Grundarfjardarbaer,880,440,440,.,770,110
84,2011Q1, Eyja- og Miklaholtshreppur,140,70,70,.,110,30
85,2011Q1, Snaefellsbaer,1700,880,820,.,1480,220
86,2011Q1, Sveitarfelagid Stykkisholmur,1140,590,550,.,1070,70
87,2011Q1, Dalabyggd,680,360,330,.,660,25
88,2011Q1, Bolungarvikurkaupstadur,880,450,420,.,790,90
89,2011Q1, Isafjardarbaer,3750,1870,1880,.,3430,320
90,2011Q1, Reykholahreppur,270,140,130,.,270,5
91,2011Q1, Vesturbyggd,1190,620,570,.,1050,140
92,2011Q1, Sudavikurhreppur,200,100,90,.,180,15
93,2011Q1, Arneshreppur,50,30,25,.,50,0
94,2011Q1, Kaldrananeshreppur,100,50,60,.,100,0
95,2011Q1, Strandabyggd,500,280,230,.,500,5
96,2011Q1, Hunathing vestra,1190,580,620,.,1150,45
97,2011Q1, Sveitarfelagid Skagastrond,520,260,260,.,510,10
98,2011Q1, Hunabyggd,1400,730,670,.,1310,90
99,2011Q1, Skagafjordur,4220,2150,2080,.,4100,130
100,2011Q1, Akureyrarbaer,17550,8660,8890,.,17140,410
101,2011Q1, Nordurthing,2890,1450,1440,.,2740,150
102,2011Q1, Fjallabyggd,2010,1020,990,.,1950,50
103,2011Q1, Dalvikurbyggd,1900,990,920,.,1750,160
104,2011Q1, Eyjafjardarsveit,1030,530,500,.,1010,25
105,2011Q1, Horgarsveit,590,310,280,.,570,15
106,2011Q1, Svalbardsstrandarhreppur,390,200,190,.,360,30
107,2011Q1, Grytubakkahreppur,330,170,160,.,320,15
108,2011Q1, Tjorneshreppur,60,30,25,.,60,.
109,2011Q1, Thingeyjarsveit,1300,680,620,.,1270,35
110,2011Q1, Langanesbyggd,600,320,290,.,540,60
111,2011Q1, Fjardabyggd,4720,2530,2180,.,4290,420
112,2011Q1, Mulathing,4620,2390,2230,.,4370,250
113,2011Q1, Vopnafjardarhreppur,660,350,310,.,640,15
114,2011Q1, Fljotsdalshreppur,80,50,30,.,80,.
115,2011Q1, Vestmannaeyjabaer,4140,2160,1980,.,4020,120
116,2011Q1, Sveitarfelagid Arborg,7710,3910,3790,.,7410,300
117,2011Q1, Sveitarfelagid Hornafjordur,2110,1120,990,.,2020,100
118,2011Q1, Myrdalshreppur,460,240,220,.,450,15
119,2011Q1, Skaftarhreppur,440,230,210,.,430,5
120,2011Q1, Asahreppur,190,90,100,.,180,15
121,2011Q1, Rangarthing eystra,1700,880,820,.,1550,150
122,2011Q1, Rangarthing ytra,1490,750,750,.,1380,110
123,2011Q1, Hrunamannahreppur,790,410,380,.,680,110
124,2011Q1, Hveragerdisbaer,2260,1120,1140,.,2180,80
125,2011Q1, Sveitarfelagid Olfus,1880,990,890,.,1640,240
126,2011Q1, Grimsnes- og Grafningshreppur,390,220,180,.,370,20
127,2011Q1, Skeida- og Gnupverjahreppur,500,250,250,.,470,25
128,2011Q1, Blaskogabyggd,910,450,460,.,830,80
129,2011Q1, Floahreppur,590,310,280,.,570,15
130,2011Q2,Total,312470,156210,156260,.,293730,18740
131,2011Q2,Capital region,198010,97770,100240,.,185920,12090
132,2011Q2, Reykjavikurborg,115480,56890,58580,.,107380,8090
133,2011Q2, Kopavogsbaer,30480,15060,15430,.,28860,1630
134,2011Q2, Seltjarnarnesbaer,4170,2040,2130,.,4000,170
135,2011Q2, Gardabaer,13250,6540,6710,.,12890,370
136,2011Q2, Hafnarfjardarkaupstadur,25830,12730,13110,.,24310,1520
137,2011Q2, Mosfellsbaer,8590,4400,4180,.,8280,310
138,2011Q2, Kjosarhreppur,210,110,90,.,200,5
139,2011Q2,Other regions,114470,58440,56020,.,107820,6650
140,2011Q2, Reykjanesbaer,13710,6950,6760,.,12550,1160
141,2011Q2, Grindavikurbaer,2790,1440,1350,.,2590,190
142,2011Q2, Sveitarfelagid Vogar,1110,590,530,.,1030,80
143,2011Q2, Sudurnesjabaer,3100,1610,1480,.,2760,340
144,2011Q2, Akraneskaupstadur,6530,3330,3200,.,6150,370
145,2011Q2, Skorradalshreppur,60,35,25,.,60,.
146,2011Q2, Hvalfjardarsveit,600,330,280,.,570,30
147,2011Q2, Borgarbyggd,3420,1760,1660,.,3270,150
148,2011Q2, Grundarfjardarbaer,870,440,440,.,780,100
149,2011Q2, Eyja- og Miklaholtshreppur,130,70,60,.,110,25
150,2011Q2, Snaefellsbaer,1700,880,820,.,1480,220
151,2011Q2, Sveitarfelagid Stykkisholmur,1160,600,560,.,1090,70
152,2011Q2, Dalabyggd,680,360,330,.,660,20
153,2011Q2, Bolungarvikurkaupstadur,870,450,420,.,780,90
154,2011Q2, Isafjardarbaer,3750,1870,1870,.,3430,320
155,2011Q2, Reykholahreppur,270,130,140,.,260,5
156,2011Q2, Vesturbyggd,1170,610,560,.,1040,130
157,2011Q2, Sudavikurhreppur,180,100,90,.,170,15
158,2011Q2, Arneshreppur,50,30,25,.,50,0
159,2011Q2, Kaldrananeshreppur,100,45,60,.,100,0
160,2011Q2, Strandabyggd,500,280,230,.,500,5
161,2011Q2, Hunathing vestra,1170,570,610,.,1130,40
162,2011Q2, Sveitarfelagid Skagastrond,510,250,260,.,500,10
163,2011Q2, Hunabyggd,1380,730,650,.,1290,90
164,2011Q2, Skagafjordur,4220,2140,2080,.,4100,120
165,2011Q2, Akureyrarbaer,17640,8700,8940,.,17220,420
166,2011Q2, Nordurthing,2880,1440,1440,.,2730,150
167,2011Q2, Fjallabyggd,2020,1020,1000,.,1970,50
168,2011Q2, Dalvikurbyggd,1890,980,910,.,1740,150
169,2011Q2, Eyjafjardarsveit,1020,530,500,.,1000,20
170,2011Q2, Horgarsveit,590,310,280,.,570,15
