,Quarter,Municipality,Total,Males,Females,Non-binary/Other,Icelandic citizens,Foreign citizens
968,2014Q2, Hrunamannahreppur,770,410,360,.,650,120
969,2014Q2, Hveragerdisbaer,2300,1160,1140,.,2210,90
970,2014Q2, Sveitarfelagid Olfus,1880,970,910,.,1610,260
971,2014Q2, Grimsnes- og Grafningshreppur,420,220,200,.,390,35
972,2014Q2, Skeida- og Gnupverjahreppur,510,260,250,.,470,45
973,2014Q2, Blaskogabyggd,920,470,450,.,820,100
974,2014Q2, Floahreppur,620,330,290,.,590,30
975,2014Q3,Total,322010,160960,161050,.,299900,22110
976,2014Q3,Capital region,205970,101760,104220,.,191900,14080
977,2014Q3, Reykjavikurborg,118600,58460,60140,.,109370,9230
978,2014Q3, Kopavogsbaer,32370,16050,16320,.,30410,1960
979,2014Q3, Seltjarnarnesbaer,4300,2130,2170,.,4110,190
980,2014Q3, Gardabaer,14140,6930,7210,.,13710,430
981,2014Q3, Hafnarfjardarkaupstadur,27240,13440,13810,.,25310,1940
982,2014Q3, Mosfellsbaer,9110,4640,4470,.,8790,320
983,2014Q3, Kjosarhreppur,210,120,100,.,200,10
984,2014Q3,Other regions,116040,59210,56830,.,108010,8030
985,2014Q3, Reykjanesbaer,14570,7370,7200,.,13150,1430
986,2014Q3, Grindavikurbaer,2890,1500,1390,.,2640,260
987,2014Q3, Sveitarfelagid Vogar,1100,560,540,.,1010,90
988,2014Q3, Sudurnesjabaer,2960,1550,1410,.,2550,420
989,2014Q3, Akraneskaupstadur,6670,3380,3290,.,6280,400
990,2014Q3, Skorradalshreppur,50,30,20,.,50,.
991,2014Q3, Hvalfjardarsveit,610,320,290,.,580,30
992,2014Q3, Borgarbyggd,3500,1810,1690,.,3330,170
993,2014Q3, Grundarfjardarbaer,870,440,430,.,750,110
994,2014Q3, Eyja- og Miklaholtshreppur,150,80,70,.,110,40
995,2014Q3, Snaefellsbaer,1660,850,810,.,1410,250
996,2014Q3, Sveitarfelagid Stykkisholmur,1140,580,550,.,1050,90
997,2014Q3, Dalabyggd,670,350,320,.,650,20
998,2014Q3, Bolungarvikurkaupstadur,910,470,440,.,770,150
999,2014Q3, Isafjardarbaer,3560,1780,1790,.,3230,340
1000,2014Q3, Reykholahreppur,260,130,130,.,260,5
1001,2014Q3, Vesturbyggd,1260,650,610,.,1100,160
1002,2014Q3, Sudavikurhreppur,200,110,100,.,180,30
1003,2014Q3, Arneshreppur,50,25,25,.,50,0
1004,2014Q3, Kaldrananeshreppur,110,60,50,.,100,5
1005,2014Q3, Strandabyggd,470,250,220,.,460,10
1006,2014Q3, Hunathing vestra,1150,560,600,.,1100,50
1007,2014Q3, Sveitarfelagid Skagastrond,490,250,240,.,480,15
1008,2014Q3, Hunabyggd,1370,720,650,.,1280,90
1009,2014Q3, Skagafjordur,4060,2060,2010,.,3940,120
1010,2014Q3, Akureyrarbaer,18030,8950,9080,.,17570,460
1011,2014Q3, Nordurthing,2780,1410,1380,.,2590,190
1012,2014Q3, Fjallabyggd,2010,1010,1010,.,1940,80
1013,2014Q3, Dalvikurbyggd,1830,940,890,.,1680,150
1014,2014Q3, Eyjafjardarsveit,1010,510,500,.,980,25
1015,2014Q3, Horgarsveit,570,290,280,.,560,15
1016,2014Q3, Svalbardsstrandarhreppur,390,210,180,.,340,50
1017,2014Q3, Grytubakkahreppur,350,180,170,.,330,20
1018,2014Q3, Tjorneshreppur,60,30,30,.,60,0
1019,2014Q3, Thingeyjarsveit,1300,670,630,.,1250,50
1020,2014Q3, Langanesbyggd,610,320,290,.,550,60
1021,2014Q3, Fjardabyggd,4900,2630,2270,.,4370,530
1022,2014Q3, Mulathing,4650,2390,2260,.,4390,260
1023,2014Q3, Vopnafjardarhreppur,680,350,330,.,660,15
1024,2014Q3, Fljotsdalshreppur,70,45,25,.,70,.
1025,2014Q3, Vestmannaeyjabaer,4230,2200,2030,.,4010,230
1026,2014Q3, Sveitarfelagid Arborg,7910,4000,3910,.,7600,320
1027,2014Q3, Sveitarfelagid Hornafjordur,2110,1120,1000,.,1980,140
1028,2014Q3, Myrdalshreppur,490,260,230,.,430,60
1029,2014Q3, Skaftarhreppur,460,250,210,.,430,25
1030,2014Q3, Asahreppur,210,100,100,.,180,30
1031,2014Q3, Rangarthing eystra,1710,900,820,.,1510,210
1032,2014Q3, Rangarthing ytra,1520,760,760,.,1380,140
1033,2014Q3, Hrunamannahreppur,770,410,360,.,640,130
1034,2014Q3, Hveragerdisbaer,2300,1160,1140,.,2200,100
1035,2014Q3, Sveitarfelagid Olfus,1870,960,910,.,1590,280
1036,2014Q3, Grimsnes- og Grafningshreppur,430,230,200,.,390,40
1037,2014Q3, Skeida- og Gnupverjahreppur,500,260,250,.,460,40
1038,2014Q3, Blaskogabyggd,930,480,450,.,820,110
1039,2014Q3, Floahreppur,610,320,290,.,580,30
1040,2014Q4,Total,323120,161570,161550,.,300430,22700
1041,2014Q4,Capital region,206770,102230,104540,.,192310,14460
1042,2014Q4, Reykjavikurborg,118840,58640,60210,.,109340,9510
1043,2014Q4, Kopavogsbaer,32630,16190,16440,.,30590,2040
1044,2014Q4, Seltjarnarnesbaer,4310,2130,2180,.,4120,190
1045,2014Q4, Gardabaer,14220,6970,7260,.,13790,440
1046,2014Q4, Hafnarfjardarkaupstadur,27400,13530,13880,.,25440,1960
1047,2014Q4, Mosfellsbaer,9160,4670,4490,.,8840,320
1048,2014Q4, Kjosarhreppur,210,120,90,.,200,10
1049,2014Q4,Other regions,116360,59340,57010,.,108120,8230
1050,2014Q4, Reykjanesbaer,14660,7400,7260,.,13160,1500
1051,2014Q4, Grindavikurbaer,2950,1530,1420,.,2660,300
1052,2014Q4, Sveitarfelagid Vogar,1090,550,540,.,1000,90
1053,2014Q4, Sudurnesjabaer,2960,1550,1410,.,2550,410
1054,2014Q4, Akraneskaupstadur,6710,3390,3310,.,6290,420
1055,2014Q4, Skorradalshreppur,60,30,25,.,60,0
1056,2014Q4, Hvalfjardarsveit,630,330,300,.,600,35
1057,2014Q4, Borgarbyggd,3500,1810,1690,.,3330,170
1058,2014Q4, Grundarfjardarbaer,880,450,430,.,760,120
1059,2014Q4, Eyja- og Miklaholtshreppur,140,80,70,.,100,40
1060,2014Q4, Snaefellsbaer,1650,840,810,.,1410,250
1061,2014Q4, Sveitarfelagid Stykkisholmur,1150,590,560,.,1060,90
1062,2014Q4, Dalabyggd,680,350,320,.,660,20
1063,2014Q4, Bolungarvikurkaupstadur,900,470,440,.,760,140
1064,2014Q4, Isafjardarbaer,3550,1780,1770,.,3220,330
1065,2014Q4, Reykholahreppur,260,130,130,.,250,5
1066,2014Q4, Vesturbyggd,1290,680,610,.,1110,180
1067,2014Q4, Sudavikurhreppur,200,100,100,.,170,30
1068,2014Q4, Arneshreppur,50,25,30,.,50,0
1069,2014Q4, Kaldrananeshreppur,110,60,60,.,110,5
1070,2014Q4, Strandabyggd,470,240,220,.,460,10
1071,2014Q4, Hunathing vestra,1160,560,600,.,1110,50
1072,2014Q4, Sveitarfelagid Skagastrond,490,250,240,.,470,15
1073,2014Q4, Hunabyggd,1360,720,650,.,1270,90
1074,2014Q4, Skagafjordur,4070,2050,2020,.,3940,130
1075,2014Q4, Akureyrarbaer,18030,8930,9100,.,17570,460
1076,2014Q4, Nordurthing,2770,1400,1370,.,2590,180
1077,2014Q4, Fjallabyggd,2020,1010,1010,.,1930,90
1078,2014Q4, Dalvikurbyggd,1850,960,890,.,1690,160
1079,2014Q4, Eyjafjardarsveit,1020,510,500,.,990,25
1080,2014Q4, Horgarsveit,560,290,270,.,550,15
1081,2014Q4, Svalbardsstrandarhreppur,410,230,180,.,340,70
1082,2014Q4, Grytubakkahreppur,360,190,170,.,340,20
1083,2014Q4, Tjorneshreppur,60,30,30,.,60,0
1084,2014Q4, Thingeyjarsveit,1300,670,630,.,1250,60
1085,2014Q4, Langanesbyggd,600,310,290,.,540,70
1086,2014Q4, Fjardabyggd,4880,2620,2260,.,4340,540
1087,2014Q4, Mulathing,4630,2370,2260,.,4380,250
1088,2014Q4, Vopnafjardarhreppur,670,340,330,.,650,15
1089,2014Q4, Fljotsdalshreppur,80,45,30,.,80,.
1090,2014Q4, Vestmannaeyjabaer,4240,2200,2040,.,4010,230
1091,2014Q4, Sveitarfelagid Arborg,7960,4040,3930,.,7640,330
1092,2014Q4, Sveitarfelagid Hornafjordur,2120,1120,1000,.,2000,130
1093,2014Q4, Myrdalshreppur,480,250,220,.,430,50
1094,2014Q4, Skaftarhreppur,460,250,210,.,430,30
1095,2014Q4, Asahreppur,210,110,100,.,190,25
1096,2014Q4, Rangarthing eystra,1720,900,830,.,1520,210
1097,2014Q4, Rangarthing ytra,1520,760,760,.,1370,150
1098,2014Q4, Hrunamannahreppur,790,420,370,.,650,140
1099,2014Q4, Hveragerdisbaer,2350,1190,1160,.,2250,100
1100,2014Q4, Sveitarfelagid Olfus,1860,960,900,.,1590,270
1101,2014Q4, Grimsnes- og Grafningshreppur,410,220,190,.,380,35
1102,2014Q4, Skeida- og Gnupverjahreppur,500,250,250,.,460,40
1103,2014Q4, Blaskogabyggd,940,490,450,.,820,120
1104,2014Q4, Floahreppur,610,320,280,.,580,30
1105,2015Q1,Total,323390,161800,161600,.,300440,22950
1106,2015Q1,Capital region,207120,102470,104650,.,192450,14670
1107,2015Q1, Reykjavikurborg,118870,58680,60190,.,109230,9640
1108,2015Q1, Kopavogsbaer,32820,16310,16510,.,30720,2100
1109,2015Q1, Seltjarnarnesbaer,4320,2140,2180,.,4140,180
1110,2015Q1, Gardabaer,14200,6950,7250,.,13750,450
1111,2015Q1, Hafnarfjardarkaupstadur,27510,13580,13930,.,25540,1960
1112,2015Q1, Mosfellsbaer,9200,4690,4500,.,8870,330
1113,2015Q1, Kjosarhreppur,210,120,100,.,210,10
1114,2015Q1,Other regions,116270,59320,56950,.,108000,8270
1115,2015Q1, Reykjanesbaer,14610,7370,7240,.,13130,1480
1116,2015Q1, Grindavikurbaer,3000,1560,1440,.,2680,310
1117,2015Q1, Sveitarfelagid Vogar,1100,550,550,.,1010,100
1118,2015Q1, Sudurnesjabaer,2950,1550,1400,.,2530,420
1119,2015Q1, Akraneskaupstadur,6700,3390,3310,.,6280,420
1120,2015Q1, Skorradalshreppur,60,30,25,.,60,0
1121,2015Q1, Hvalfjardarsveit,620,320,300,.,590,35
1122,2015Q1, Borgarbyggd,3510,1820,1690,.,3340,170
1123,2015Q1, Grundarfjardarbaer,880,450,430,.,750,130
1124,2015Q1, Eyja- og Miklaholtshreppur,140,70,70,.,100,40
1125,2015Q1, Snaefellsbaer,1640,840,810,.,1390,250
1126,2015Q1, Sveitarfelagid Stykkisholmur,1140,590,560,.,1050,90
1127,2015Q1, Dalabyggd,680,350,330,.,660,20
1128,2015Q1, Bolungarvikurkaupstadur,900,470,430,.,750,150
1129,2015Q1, Isafjardarbaer,3540,1780,1760,.,3240,300
1130,2015Q1, Reykholahreppur,270,140,130,.,260,5
1131,2015Q1, Vesturbyggd,1280,670,610,.,1100,170
1132,2015Q1, Sudavikurhreppur,190,100,90,.,160,30
1133,2015Q1, Arneshreppur,50,25,30,.,50,0
1134,2015Q1, Kaldrananeshreppur,110,50,50,.,100,5
1135,2015Q1, Strandabyggd,470,250,220,.,460,5
1136,2015Q1, Hunathing vestra,1150,560,590,.,1100,45
1137,2015Q1, Sveitarfelagid Skagastrond,480,250,240,.,470,15
1138,2015Q1, Hunabyggd,1340,700,640,.,1260,80
1139,2015Q1, Skagafjordur,4060,2040,2020,.,3920,140
1140,2015Q1, Akureyrarbaer,18060,8950,9110,.,17600,460
1141,2015Q1, Nordurthing,2760,1390,1370,.,2590,180
1142,2015Q1, Fjallabyggd,2020,1010,1010,.,1930,90
1143,2015Q1, Dalvikurbyggd,1840,950,890,.,1680,160
1144,2015Q1, Eyjafjardarsveit,1020,510,510,.,980,30
1145,2015Q1, Horgarsveit,580,300,280,.,560,10
1146,2015Q1, Svalbardsstrandarhreppur,400,230,170,.,340,60
1147,2015Q1, Grytubakkahreppur,360,190,170,.,340,25
1148,2015Q1, Tjorneshreppur,60,30,30,.,60,0
1149,2015Q1, Thingeyjarsveit,1290,670,620,.,1240,50
1150,2015Q1, Langanesbyggd,610,320,290,.,550,60
1151,2015Q1, Fjardabyggd,4860,2610,2260,.,4320,540
1152,2015Q1, Mulathing,4630,2370,2260,.,4390,250
1153,2015Q1, Vopnafjardarhreppur,660,340,320,.,650,15
1154,2015Q1, Fljotsdalshreppur,70,50,25,.,70,.
1155,2015Q1, Vestmannaeyjabaer,4240,2200,2040,.,4000,240
1156,2015Q1, Sveitarfelagid Arborg,8000,4050,3950,.,7670,330
1157,2015Q1, Sveitarfelagid Hornafjordur,2120,1130,1000,.,1980,140
1158,2015Q1, Myrdalshreppur,480,260,220,.,420,70
1159,2015Q1, Skaftarhreppur,460,250,210,.,430,30
1160,2015Q1, Asahreppur,230,120,110,.,200,30
1161,2015Q1, Rangarthing eystra,1720,890,820,.,1500,210
1162,2015Q1, Rangarthing ytra,1510,750,750,.,1360,140
1163,2015Q1, Hrunamannahreppur,770,410,360,.,640,130
1164,2015Q1, Hveragerdisbaer,2350,1190,1150,.,2240,100
1165,2015Q1, Sveitarfelagid Olfus,1860,970,890,.,1590,270
1166,2015Q1, Grimsnes- og Grafningshreppur,420,220,200,.,380,35
1167,2015Q1, Skeida- og Gnupverjahreppur,500,250,250,.,460,40
1168,2015Q1, Blaskogabyggd,950,490,460,.,820,120
1169,2015Q1, Floahreppur,590,320,280,.,570,25
1170,2015Q2,Total,324380,162340,162040,.,301130,23240
1171,2015Q2,Capital region,207550,102690,104860,.,192820,14730
1172,2015Q2, Reykjavikurborg,118900,58710,60190,.,109200,9700
1173,2015Q2, Kopavogsbaer,33100,16440,16660,.,30990,2110
1174,2015Q2, Seltjarnarnesbaer,4320,2130,2190,.,4140,180
1175,2015Q2, Gardabaer,14260,6980,7280,.,13820,440
1176,2015Q2, Hafnarfjardarkaupstadur,27460,13550,13910,.,25510,1950
1177,2015Q2, Mosfellsbaer,9290,4750,4540,.,8950,340
1178,2015Q2, Kjosarhreppur,220,120,100,.,220,10
1179,2015Q2,Other regions,116830,59650,57170,.,108310,8520
1180,2015Q2, Reykjanesbaer,14700,7440,7260,.,13180,1520
1181,2015Q2, Grindavikurbaer,3030,1580,1450,.,2720,310
1182,2015Q2, Sveitarfelagid Vogar,1120,570,550,.,1010,100
1183,2015Q2, Sudurnesjabaer,2950,1570,1380,.,2540,420
1184,2015Q2, Akraneskaupstadur,6750,3420,3340,.,6320,430
1185,2015Q2, Skorradalshreppur,50,30,25,.,50,.
1186,2015Q2, Hvalfjardarsveit,600,320,290,.,570,30
1187,2015Q2, Borgarbyggd,3520,1830,1690,.,3320,190
1188,2015Q2, Grundarfjardarbaer,890,460,430,.,760,130
1189,2015Q2, Eyja- og Miklaholtshreppur,140,80,60,.,100,40
1190,2015Q2, Snaefellsbaer,1630,830,800,.,1390,250
1191,2015Q2, Sveitarfelagid Stykkisholmur,1140,580,560,.,1050,100
1192,2015Q2, Dalabyggd,670,350,320,.,640,20
1193,2015Q2, Bolungarvikurkaupstadur,880,460,430,.,740,150
1194,2015Q2, Isafjardarbaer,3540,1780,1760,.,3240,300
1195,2015Q2, Reykholahreppur,260,130,130,.,260,5
1196,2015Q2, Vesturbyggd,1270,660,610,.,1100,180
1197,2015Q2, Sudavikurhreppur,180,90,90,.,160,30
1198,2015Q2, Arneshreppur,60,25,30,.,60,0
1199,2015Q2, Kaldrananeshreppur,110,60,50,.,100,5
1200,2015Q2, Strandabyggd,470,240,230,.,460,5
1201,2015Q2, Hunathing vestra,1130,550,580,.,1080,50
1202,2015Q2, Sveitarfelagid Skagastrond,490,250,240,.,470,15
1203,2015Q2, Hunabyggd,1360,710,650,.,1270,90
1204,2015Q2, Skagafjordur,4060,2040,2020,.,3930,130
1205,2015Q2, Akureyrarbaer,18150,8970,9190,.,17700,450
1206,2015Q2, Nordurthing,2780,1400,1380,.,2590,190
1207,2015Q2, Fjallabyggd,2030,1020,1010,.,1940,90
1208,2015Q2, Dalvikurbyggd,1830,940,890,.,1660,170
1209,2015Q2, Eyjafjardarsveit,1000,510,490,.,970,35
1210,2015Q2, Horgarsveit,580,300,280,.,570,10
1211,2015Q2, Svalbardsstrandarhreppur,400,230,170,.,340,60
1212,2015Q2, Grytubakkahreppur,370,190,180,.,350,20
1213,2015Q2, Tjorneshreppur,60,30,30,.,60,0
1214,2015Q2, Thingeyjarsveit,1280,660,620,.,1240,50
1215,2015Q2, Langanesbyggd,610,320,290,.,540,60
1216,2015Q2, Fjardabyggd,4890,2620,2270,.,4350,540
1217,2015Q2, Mulathing,4660,2390,2270,.,4400,260
1218,2015Q2, Vopnafjardarhreppur,660,340,320,.,640,15
1219,2015Q2, Fljotsdalshreppur,80,50,25,.,80,.
1220,2015Q2, Vestmannaeyjabaer,4260,2210,2050,.,4010,250
1221,2015Q2, Sveitarfelagid Arborg,8070,4090,3980,.,7730,340
1222,2015Q2, Sveitarfelagid Hornafjordur,2160,1140,1020,.,1990,170
1223,2015Q2, Myrdalshreppur,500,270,230,.,410,90
1224,2015Q2, Skaftarhreppur,460,250,210,.,420,40
1225,2015Q2, Asahreppur,220,110,110,.,190,30
1226,2015Q2, Rangarthing eystra,1740,910,840,.,1520,230
1227,2015Q2, Rangarthing ytra,1500,750,750,.,1350,150
1228,2015Q2, Hrunamannahreppur,780,420,360,.,650,130
1229,2015Q2, Hveragerdisbaer,2370,1210,1160,.,2270,100
1230,2015Q2, Sveitarfelagid Olfus,1910,1020,890,.,1610,310
1231,2015Q2, Grimsnes- og Grafningshreppur,430,230,200,.,390,40
1232,2015Q2, Skeida- og Gnupverjahreppur,500,250,250,.,460,45
1233,2015Q2, Blaskogabyggd,940,480,460,.,800,140
1234,2015Q2, Floahreppur,600,320,280,.,570,25
1235,2015Q3,Total,324700,162560,162140,.,301280,23420
1236,2015Q3,Capital region,207810,102860,104950,.,193040,14770
1237,2015Q3, Reykjavikurborg,118760,58670,60080,.,109090,9670
1238,2015Q3, Kopavogsbaer,33350,16580,16780,.,31180,2180
1239,2015Q3, Seltjarnarnesbaer,4280,2120,2170,.,4110,180
1240,2015Q3, Gardabaer,14330,7000,7330,.,13910,420
1241,2015Q3, Hafnarfjardarkaupstadur,27550,13600,13950,.,25580,1970
1242,2015Q3, Mosfellsbaer,9310,4760,4550,.,8960,350
1243,2015Q3, Kjosarhreppur,220,120,100,.,210,10
1244,2015Q3,Other regions,116890,59700,57190,.,108240,8650
1245,2015Q3, Reykjanesbaer,14790,7490,7310,.,13240,1560
1246,2015Q3, Grindavikurbaer,3040,1590,1450,.,2720,310
1247,2015Q3, Sveitarfelagid Vogar,1130,580,550,.,1020,110
1248,2015Q3, Sudurnesjabaer,2950,1580,1370,.,2550,400
1249,2015Q3, Akraneskaupstadur,6800,3460,3340,.,6380,420
1250,2015Q3, Skorradalshreppur,50,30,20,.,50,.
1251,2015Q3, Hvalfjardarsveit,620,330,300,.,590,35
1252,2015Q3, Borgarbyggd,3550,1840,1710,.,3340,210
1253,2015Q3, Grundarfjardarbaer,880,440,430,.,740,140
1254,2015Q3, Eyja- og Miklaholtshreppur,140,70,70,.,100,40
1255,2015Q3, Snaefellsbaer,1620,830,790,.,1370,250
1256,2015Q3, Sveitarfelagid Stykkisholmur,1120,570,550,.,1030,90
1257,2015Q3, Dalabyggd,660,350,320,.,630,30
1258,2015Q3, Bolungarvikurkaupstadur,880,460,430,.,740,150
1259,2015Q3, Isafjardarbaer,3520,1770,1750,.,3220,300
1260,2015Q3, Reykholahreppur,260,130,130,.,250,5
1261,2015Q3, Vesturbyggd,1280,660,610,.,1100,170
1262,2015Q3, Sudavikurhreppur,190,100,90,.,160,30
1263,2015Q3, Arneshreppur,50,25,30,.,50,0
1264,2015Q3, Kaldrananeshreppur,100,50,50,.,90,5
1265,2015Q3, Strandabyggd,460,240,220,.,450,10
1266,2015Q3, Hunathing vestra,1150,560,590,.,1100,50
1267,2015Q3, Sveitarfelagid Skagastrond,490,250,240,.,470,15
1268,2015Q3, Hunabyggd,1360,710,650,.,1270,90
1269,2015Q3, Skagafjordur,4050,2030,2020,.,3920,130
1270,2015Q3, Akureyrarbaer,18140,8970,9170,.,17680,460
1271,2015Q3, Nordurthing,2780,1410,1370,.,2580,190
1272,2015Q3, Fjallabyggd,2010,1010,1000,.,1930,80
1273,2015Q3, Dalvikurbyggd,1840,950,890,.,1670,170
1274,2015Q3, Eyjafjardarsveit,1000,500,490,.,960,35
1275,2015Q3, Horgarsveit,550,280,270,.,540,10
1276,2015Q3, Svalbardsstrandarhreppur,400,220,180,.,340,60
1277,2015Q3, Grytubakkahreppur,360,190,170,.,340,15
1278,2015Q3, Tjorneshreppur,60,30,30,.,60,0
1279,2015Q3, Thingeyjarsveit,1280,670,620,.,1230,50
1280,2015Q3, Langanesbyggd,600,320,290,.,540,60
1281,2015Q3, Fjardabyggd,4850,2610,2240,.,4300,550
1282,2015Q3, Mulathing,4630,2370,2270,.,4370,260
1283,2015Q3, Vopnafjardarhreppur,640,330,310,.,630,15
1284,2015Q3, Fljotsdalshreppur,70,45,25,.,70,.
1285,2015Q3, Vestmannaeyjabaer,4220,2190,2020,.,3970,240
1286,2015Q3, Sveitarfelagid Arborg,8110,4100,4010,.,7770,350
1287,2015Q3, Sveitarfelagid Hornafjordur,2160,1140,1020,.,1980,180
1288,2015Q3, Myrdalshreppur,510,270,240,.,420,100
1289,2015Q3, Skaftarhreppur,470,250,220,.,430,45
1290,2015Q3, Asahreppur,220,110,110,.,190,30
1291,2015Q3, Rangarthing eystra,1750,910,840,.,1500,240
1292,2015Q3, Rangarthing ytra,1520,760,760,.,1360,160
1293,2015Q3, Hrunamannahreppur,780,420,360,.,650,130
1294,2015Q3, Hveragerdisbaer,2380,1210,1170,.,2280,100
1295,2015Q3, Sveitarfelagid Olfus,1930,1040,890,.,1610,320
1296,2015Q3, Grimsnes- og Grafningshreppur,430,230,200,.,390,35
1297,2015Q3, Skeida- og Gnupverjahreppur,510,260,260,.,460,45
1298,2015Q3, Blaskogabyggd,960,490,470,.,810,150
1299,2015Q3, Floahreppur,610,320,290,.,580,25
1300,2015Q4,Total,326130,163360,162770,.,301740,24390
1301,2015Q4,Capital region,208880,103470,105410,.,193410,15470
1302,2015Q4, Reykjavikurborg,119300,58990,60320,.,109120,10180
1303,2015Q4, Kopavogsbaer,33550,16690,16860,.,31320,2230
1304,2015Q4, Seltjarnarnesbaer,4320,2140,2180,.,4130,190
1305,2015Q4, Gardabaer,14450,7080,7370,.,14020,440
1306,2015Q4, Hafnarfjardarkaupstadur,27700,13690,14010,.,25640,2070
1307,2015Q4, Mosfellsbaer,9340,4770,4570,.,8990,350
1308,2015Q4, Kjosarhreppur,210,110,100,.,200,10
1309,2015Q4,Other regions,117250,59890,57360,.,108330,8920
1310,2015Q4, Reykjanesbaer,14950,7580,7370,.,13270,1670
1311,2015Q4, Grindavikurbaer,3080,1610,1470,.,2740,340
1312,2015Q4, Sveitarfelagid Vogar,1130,580,550,.,1020,110
1313,2015Q4, Sudurnesjabaer,2960,1580,1380,.,2550,410
1314,2015Q4, Akraneskaupstadur,6840,3480,3360,.,6410,430
1315,2015Q4, Skorradalshreppur,50,30,25,.,50,.
1316,2015Q4, Hvalfjardarsveit,620,330,290,.,580,35
1317,2015Q4, Borgarbyggd,3580,1860,1730,.,3370,210
1318,2015Q4, Grundarfjardarbaer,880,440,440,.,730,150
1319,2015Q4, Eyja- og Miklaholtshreppur,130,70,70,.,100,35
1320,2015Q4, Snaefellsbaer,1630,840,790,.,1380,250
1321,2015Q4, Sveitarfelagid Stykkisholmur,1160,590,570,.,1050,110
1322,2015Q4, Dalabyggd,680,350,320,.,650,30
1323,2015Q4, Bolungarvikurkaupstadur,890,460,430,.,740,150
1324,2015Q4, Isafjardarbaer,3550,1790,1760,.,3240,310
1325,2015Q4, Reykholahreppur,260,130,120,.,260,5
1326,2015Q4, Vesturbyggd,1250,650,600,.,1090,160
1327,2015Q4, Sudavikurhreppur,180,100,80,.,150,30
1328,2015Q4, Arneshreppur,60,25,30,.,50,0
1329,2015Q4, Kaldrananeshreppur,100,50,50,.,100,5
1330,2015Q4, Strandabyggd,460,240,220,.,450,10
1331,2015Q4, Hunathing vestra,1140,550,590,.,1090,50
1332,2015Q4, Sveitarfelagid Skagastrond,490,250,240,.,470,15
1333,2015Q4, Hunabyggd,1360,710,650,.,1270,90
1334,2015Q4, Skagafjordur,4060,2030,2020,.,3920,140
1335,2015Q4, Akureyrarbaer,18130,8960,9160,.,17650,480
1336,2015Q4, Nordurthing,2780,1410,1370,.,2590,200
1337,2015Q4, Fjallabyggd,2010,1020,1000,.,1930,80
1338,2015Q4, Dalvikurbyggd,1830,950,880,.,1660,170
1339,2015Q4, Eyjafjardarsveit,1020,510,510,.,980,40
1340,2015Q4, Horgarsveit,550,280,260,.,540,10
1341,2015Q4, Svalbardsstrandarhreppur,420,230,190,.,360,70
1342,2015Q4, Grytubakkahreppur,350,180,170,.,340,15
1343,2015Q4, Tjorneshreppur,60,30,30,.,60,0
1344,2015Q4, Thingeyjarsveit,1310,700,610,.,1220,90
1345,2015Q4, Langanesbyggd,600,310,290,.,530,70
1346,2015Q4, Fjardabyggd,4810,2580,2230,.,4270,540
1347,2015Q4, Mulathing,4640,2380,2260,.,4370,270
1348,2015Q4, Vopnafjardarhreppur,650,330,320,.,630,15
1349,2015Q4, Fljotsdalshreppur,70,45,25,.,70,0
1350,2015Q4, Vestmannaeyjabaer,4230,2190,2040,.,3970,260
1351,2015Q4, Sveitarfelagid Arborg,8110,4090,4020,.,7760,350
1352,2015Q4, Sveitarfelagid Hornafjordur,2140,1130,1020,.,1970,180
1353,2015Q4, Myrdalshreppur,510,270,250,.,410,100
1354,2015Q4, Skaftarhreppur,470,250,220,.,420,50
1355,2015Q4, Asahreppur,210,110,110,.,190,20
1356,2015Q4, Rangarthing eystra,1740,910,830,.,1510,230
1357,2015Q4, Rangarthing ytra,1500,750,750,.,1340,150
1358,2015Q4, Hrunamannahreppur,780,420,370,.,660,130
1359,2015Q4, Hveragerdisbaer,2420,1230,1200,.,2310,110
1360,2015Q4, Sveitarfelagid Olfus,1910,1010,900,.,1610,300
1361,2015Q4, Grimsnes- og Grafningshreppur,450,240,200,.,400,45
1362,2015Q4, Skeida- og Gnupverjahreppur,510,260,250,.,460,45
1363,2015Q4, Blaskogabyggd,960,490,470,.,800,160
1364,2015Q4, Floahreppur,610,320,290,.,590,30
1365,2016Q1,Total,327040,164060,162980,.,301970,25070
1366,2016Q1,Capital region,209500,103920,105580,.,193610,15890
1367,2016Q1, Reykjavikurborg,119420,59120,60310,.,108980,10440
1368,2016Q1, Kopavogsbaer,33930,16900,17030,.,31590,2340
1369,2016Q1, Seltjarnarnesbaer,4300,2130,2180,.,4090,210
1370,2016Q1, Gardabaer,14500,7130,7370,.,14060,440
1371,2016Q1, Hafnarfjardarkaupstadur,27750,13740,14010,.,25660,2090
1372,2016Q1, Mosfellsbaer,9380,4790,4590,.,9020,360
1373,2016Q1, Kjosarhreppur,210,110,100,.,200,10
1374,2016Q1,Other regions,117540,60140,57400,.,108360,9180
1375,2016Q1, Reykjanesbaer,15140,7710,7430,.,13330,1810
1376,2016Q1, Grindavikurbaer,3100,1620,1480,.,2750,350
1377,2016Q1, Sveitarfelagid Vogar,1150,590,560,.,1020,130
1378,2016Q1, Sudurnesjabaer,2980,1600,1380,.,2570,410
1379,2016Q1, Akraneskaupstadur,6870,3500,3370,.,6420,450
1380,2016Q1, Skorradalshreppur,50,30,25,.,50,.
1381,2016Q1, Hvalfjardarsveit,620,320,300,.,580,30
