,Month,Consumer price index Index,"Consumer price index Monthly change, %","Consumer price index Annual change, %","Consumer price index Annualized rate, latest month, %","Consumer price index Annualized rate, 3 month, %","Consumer price index Annualized rate,  6 month, %",Consumer price index less housing cost Index,"Consumer price index less housing cost Monthly change, %","Consumer price index less housing cost Annual change, %","Consumer price index less housing cost Annualized rate, latest month, %","Consumer price index less housing cost Annualized rate, 3 month, %","Consumer price index less housing cost Annualized rate,  6 month, %"
341,2016M10,438.5,0.00,1.8,0.0,3.4,2.2,395.0,-0.28,-0.5,-3.3,-1.0,-0.8
342,2016M11,438.4,-0.02,2.1,-0.3,1.8,1.3,393.4,-0.41,-0.3,-4.8,-3.1,-2.2
343,2016M12,439.0,0.14,1.9,1.7,0.5,1.2,392.7,-0.18,-0.8,-2.1,-3.4,-2.7
344,2017M01,436.5,-0.57,1.9,-6.6,-1.8,0.7,388.0,-1.20,-0.9,-13.5,-6.9,-4.0
345,2017M02,439.6,0.71,1.9,8.9,1.1,1.5,390.3,0.59,-1.0,7.3,-3.1,-3.1
346,2017M03,439.9,0.07,1.6,0.8,0.8,0.6,389.2,-0.28,-1.7,-3.3,-3.5,-3.5
347,2017M04,442.1,0.50,1.9,6.2,5.2,1.6,389.2,0.00,-1.8,0.0,1.2,-2.9
348,2017M05,443.0,0.20,1.7,2.5,3.1,2.1,387.6,-0.41,-2.6,-4.8,-2.7,-2.9
349,2017M06,443.0,0.00,1.5,0.0,2.8,1.8,386.0,-0.41,-3.1,-4.8,-3.2,-3.4
350,2017M07,442.9,-0.02,1.8,-0.3,0.7,3.0,383.8,-0.57,-3.1,-6.6,-5.4,-2.2
351,2017M08,444.0,0.25,1.7,3.0,0.9,2.0,384.5,0.18,-3.0,2.2,-3.2,-2.9
352,2017M09,444.6,0.14,1.4,1.6,1.5,2.1,383.7,-0.21,-3.1,-2.5,-2.4,-2.8
353,2017M10,446.7,0.47,1.9,5.8,3.5,2.1,386.1,0.63,-2.3,7.8,2.4,-1.6
354,2017M11,446.0,-0.16,1.7,-1.9,1.8,1.4,384.2,-0.49,-2.3,-5.7,-0.3,-1.7
355,2017M12,447.2,0.27,1.9,3.3,2.4,1.9,386.6,0.62,-1.6,7.8,3.1,0.3
356,2018M01,446.8,-0.09,2.4,-1.1,0.1,1.8,384.4,-0.57,-0.9,-6.6,-1.7,0.3
357,2018M02,449.5,0.60,2.3,7.5,3.2,2.5,386.7,0.60,-0.9,7.4,2.6,1.1
358,2018M03,452.0,0.56,2.8,6.9,4.4,3.4,388.1,0.36,-0.3,4.4,1.6,2.3
359,2018M04,452.2,0.04,2.3,0.5,4.9,2.5,388.4,0.08,-0.2,0.9,4.2,1.2
360,2018M05,451.8,-0.09,2.0,-1.1,2.1,2.6,388.3,-0.03,0.2,-0.3,1.7,2.1
361,2018M06,454.6,0.62,2.6,7.7,2.3,3.3,390.1,0.46,1.1,5.7,2.1,1.8
362,2018M07,454.8,0.04,2.7,0.5,2.3,3.6,389.1,-0.26,1.4,-3.0,0.7,2.5
363,2018M08,455.7,0.20,2.6,2.4,3.5,2.8,389.5,0.10,1.3,1.2,1.2,1.5
364,2018M09,456.8,0.24,2.7,2.9,1.9,2.1,390.5,0.26,1.8,3.1,0.4,1.2
365,2018M10,459.4,0.57,2.8,7.0,4.1,3.2,392.8,0.59,1.7,7.3,3.9,2.3
366,2018M11,460.5,0.24,3.3,2.9,4.3,3.9,393.5,0.18,2.4,2.2,4.2,2.7
367,2018M12,463.9,0.74,3.7,9.2,6.4,4.1,397.2,0.94,2.7,11.9,7.0,3.7
368,2019M01,462.0,-0.41,3.4,-4.8,2.3,3.2,394.3,-0.73,2.6,-8.4,1.5,2.7
369,2019M02,462.9,0.19,3.0,2.4,2.1,3.2,394.9,0.15,2.1,1.8,1.4,2.8
370,2019M03,465.3,0.52,2.9,6.4,1.2,3.8,397.5,0.66,2.4,8.2,0.3,3.6
371,2019M04,467.0,0.37,3.3,4.5,4.4,3.3,399.4,0.48,2.8,5.9,5.3,3.4
372,2019M05,468.0,0.21,3.6,2.6,4.5,3.3,400.2,0.20,3.1,2.4,5.5,3.4
373,2019M06,469.8,0.38,3.3,4.7,3.9,2.6,401.7,0.37,3.0,4.6,4.3,2.3
374,2019M07,468.8,-0.21,3.1,-2.5,1.6,3.0,400.0,-0.42,2.8,-5.0,0.6,2.9
375,2019M08,470.1,0.28,3.2,3.4,1.8,3.1,401.6,0.40,3.1,4.9,1.4,3.4
376,2019M09,470.5,0.09,3.0,1.0,0.6,2.2,402.0,0.10,2.9,1.2,0.3,2.3
377,2019M10,472.2,0.36,2.8,4.4,2.9,2.2,402.9,0.22,2.6,2.7,2.9,1.8
378,2019M11,472.8,0.13,2.7,1.5,2.3,2.1,402.9,0.00,2.4,0.0,1.3,1.4
379,2019M12,473.3,0.11,2.0,1.3,2.4,1.5,404.0,0.27,1.7,3.3,2.0,1.1
380,2020M01,469.8,-0.74,1.7,-8.5,-2.0,0.4,400.5,-0.87,1.6,-9.9,-2.4,0.3
381,2020M02,474.1,0.92,2.4,11.6,1.1,1.7,404.3,0.95,2.4,12.0,1.4,1.3
382,2020M03,475.2,0.23,2.1,2.8,1.6,2.0,404.7,0.10,1.8,1.2,0.7,1.3
383,2020M04,477.5,0.48,2.2,6.0,6.7,2.3,407.0,0.57,1.9,7.0,6.7,2.0
384,2020M05,480.1,0.54,2.6,6.7,5.2,3.1,410.6,0.88,2.6,11.1,6.4,3.9
385,2020M06,482.2,0.44,2.6,5.4,6.0,3.8,412.7,0.51,2.7,6.3,8.1,4.4
386,2020M07,482.9,0.15,3.0,1.8,4.6,5.7,413.4,0.17,3.3,2.1,6.4,6.5
387,2020M08,485.1,0.46,3.2,5.6,4.2,4.7,415.3,0.46,3.4,5.7,4.7,5.5
388,2020M09,487.0,0.39,3.5,4.8,4.0,5.0,417.5,0.53,3.9,6.5,4.7,6.4
389,2020M10,489.1,0.43,3.6,5.3,5.2,4.9,419.3,0.43,4.1,5.3,5.8,6.1
390,2020M11,489.3,0.04,3.5,0.5,3.5,3.9,419.7,0.10,4.2,1.2,4.3,4.5
391,2020M12,490.3,0.20,3.6,2.5,2.7,3.4,420.3,0.14,4.0,1.7,2.7,3.7
392,2021M01,490.0,-0.06,4.3,-0.7,0.7,3.0,419.3,-0.24,4.7,-2.8,0.0,2.9
393,2021M02,493.4,0.69,4.1,8.7,3.4,3.5,422.5,0.76,4.5,9.6,2.7,3.5
394,2021M03,495.8,0.49,4.3,6.0,4.6,3.6,424.3,0.43,4.8,5.2,3.9,3.3
395,2021M04,499.3,0.71,4.6,8.8,7.8,4.2,425.9,0.38,4.6,4.6,6.4,3.2
396,2021M05,501.4,0.42,4.4,5.2,6.6,5.0,426.9,0.23,4.0,2.9,4.2,3.5
397,2021M06,502.7,0.26,4.3,3.2,5.7,5.1,427.5,0.14,3.6,1.7,3.1,3.5
398,2021M07,503.5,0.16,4.3,1.9,3.4,5.6,427.3,-0.05,3.4,-0.6,1.3,3.9
399,2021M08,505.8,0.46,4.3,5.6,3.6,5.1,429.0,0.40,3.3,4.9,2.0,3.1
400,2021M09,508.2,0.47,4.4,5.8,4.4,5.1,429.8,0.19,2.9,2.3,2.2,2.6
401,2021M10,511.2,0.59,4.5,7.3,6.3,4.8,431.8,0.47,3.0,5.7,4.3,2.8
402,2021M11,513.0,0.35,4.8,4.3,5.8,4.7,432.5,0.16,3.0,2.0,3.3,2.6
403,2021M12,515.3,0.45,5.1,5.5,5.7,5.1,434.1,0.37,3.3,4.5,4.1,3.1
404,2022M01,517.9,0.50,5.7,6.2,5.3,5.8,434.8,0.16,3.7,2.0,2.8,3.5
405,2022M02,523.9,1.16,6.2,14.8,8.8,7.3,440.3,1.26,4.2,16.3,7.4,5.3
406,2022M03,528.8,0.94,6.7,11.8,10.9,8.3,443.9,0.82,4.6,10.3,9.3,6.7
407,2022M04,535.4,1.25,7.2,16.0,14.2,9.7,448.3,0.99,5.3,12.6,13.0,7.8
408,2022M05,539.5,0.77,7.6,9.6,12.5,10.6,450.2,0.42,5.5,5.2,9.3,8.4
409,2022M06,547.1,1.41,8.8,18.3,14.6,12.7,455.1,1.09,6.5,13.9,10.5,9.9
410,2022M07,553.5,1.17,9.9,15.0,14.2,14.2,459.4,0.94,7.5,11.9,10.3,11.6
411,2022M08,555.1,0.29,9.7,3.5,12.1,12.3,459.6,0.04,7.1,0.5,8.6,9.0
412,2022M09,555.6,0.09,9.3,1.1,6.4,10.4,460.0,0.09,7.0,1.0,4.4,7.4
413,2022M10,559.3,0.67,9.4,8.3,4.3,9.1,463.0,0.65,7.2,8.1,3.2,6.7
414,2022M11,560.9,0.29,9.3,3.5,4.2,8.1,463.3,0.06,7.1,0.8,3.3,5.9
415,2022M12,564.6,0.66,9.6,8.2,6.6,6.5,466.8,0.76,7.5,9.5,6.0,5.2
416,2023M01,569.4,0.85,9.9,10.7,7.4,5.8,470.9,0.88,8.3,11.1,7.0,5.1
417,2023M02,577.3,1.39,10.2,18.0,12.2,8.2,479.4,1.81,8.9,23.9,14.6,8.8
418,2023M03,580.7,0.59,9.8,7.3,11.9,9.2,481.9,0.52,8.6,6.4,13.6,9.7
419,2023M04,588.3,1.31,9.9,16.9,14.0,10.6,487.1,1.08,8.7,13.7,14.5,10.7
420,2023M05,590.6,0.39,9.5,4.8,9.5,10.9,487.8,0.14,8.4,1.7,7.2,10.9
421,2023M06,595.6,0.85,8.9,10.6,10.7,11.3,491.1,0.68,7.9,8.4,7.9,10.7
422,2023M07,595.8,0.03,7.6,0.4,5.2,9.5,492.1,0.20,7.1,2.5,4.2,9.2
423,2023M08,597.8,0.34,7.7,4.1,5.0,7.2,494.5,0.49,7.6,6.0,5.6,6.4
424,2023M09,599.9,0.35,8.0,4.3,2.9,6.7,495.4,0.18,7.7,2.2,3.5,5.7
425,2023M10,603.5,0.60,7.9,7.4,5.3,5.2,496.8,0.28,7.3,3.4,3.9,4.0
426,2023M11,605.8,0.38,8.0,4.7,5.5,5.2,496.6,-0.04,7.2,-0.5,1.7,3.6
427,2023M12,608.3,0.41,7.7,5.1,5.7,4.3,497.9,0.26,6.7,3.2,2.0,2.8
428,2024M01,607.3,-0.16,6.7,-2.0,2.5,3.9,495.4,-0.50,5.2,-5.9,-1.1,1.3
429,2024M02,615.4,1.33,6.6,17.2,6.5,6.0,502.0,1.33,4.7,17.2,4.4,3.1
430,2024M03,620.3,0.80,6.8,10.0,8.1,6.9,504.4,0.48,4.7,5.9,5.3,3.7
431,2024M04,623.7,0.55,6.0,6.8,11.2,6.8,505.9,0.30,3.9,3.6,8.8,3.7
432,2024M05,627.3,0.58,6.2,7.2,8.0,7.2,508.5,0.51,4.2,6.3,5.3,4.9
433,2024M06,630.3,0.48,5.8,5.9,6.6,7.4,510.6,0.41,4.0,5.1,5.0,5.2
434,2024M07,633.2,0.46,6.3,5.7,6.2,8.7,512.9,0.45,4.2,5.5,5.7,7.2
435,2024M08,633.8,0.09,6.0,1.1,4.2,6.1,512.1,-0.16,3.6,-1.9,2.9,4.1
436,2024M09,632.3,-0.24,5.4,-2.8,1.3,3.9,509.3,-0.55,2.8,-6.4,-1.0,2.0
437,2024M10,634.1,0.28,5.1,3.5,0.6,3.4,510.8,0.29,2.8,3.6,-1.6,1.9
438,2024M11,634.7,0.09,4.8,1.1,0.6,2.4,509.8,-0.20,2.7,-2.3,-1.8,0.5
439,2024M12,637.2,0.39,4.8,4.8,3.1,2.2,511.7,0.37,2.8,4.6,1.9,0.4
440,2025M01,635.5,-0.27,4.6,-3.2,0.9,0.7,510.2,-0.29,3.0,-3.5,-0.5,-1.1
441,2025M02,641.3,0.91,4.2,11.5,4.2,2.4,515.6,1.06,2.7,13.5,4.6,1.4
442,2025M03,643.7,0.37,3.8,4.6,4.1,3.6,517.2,0.31,2.5,3.8,4.4,3.1
443,2025M04,649.7,0.93,4.2,11.8,9.2,5.0,522.0,0.93,3.2,11.7,9.6,4.4
